City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,bayanhongor,46.7167,100.1167,-18.92,93,100,0.28,MN,1708136124
281,port douglas,-16.4833,145.4667,28.67,80,93,2.81,AU,1708136055
282,utrik,11.2278,169.8474,25.97,82,56,11.02,MH,1708136125
283,puerto baquerizo moreno,-0.9,-89.6,26.94,83,14,3.34,EC,1708136125
284,nova sintra,14.8667,-24.7167,20.85,79,3,10.55,CV,1708136084
285,gamboru,12.3707,14.2173,20.43,36,78,5.31,NG,1708136125
286,mount pearl,47.5166,-52.7813,-2.25,96,100,4.63,CA,1708136125
287,longyearbyen,78.2186,15.6401,-10.09,73,40,3.6,SJ,1708136125
288,graaff-reinet,-32.2522,24.5308,11.62,64,3,0.69,ZA,1708136125
289,neiafu,-18.65,-173.9833,27.5,70,72,7.48,TO,1708136125
290,maralal,1.0968,36.698,16.84,64,71,1.74,KE,1708136125
291,puerto san jose,13.9256,-90.8244,26.2,72,5,3.86,GT,1708136125
292,staryye ozinki,51.1786,49.6769,-13.52,82,100,6.12,RU,1708136126
293,cabedelo,-6.9811,-34.8339,25.37,81,94,3.05,BR,1708136071
294,port moresby,-9.4431,147.1797,30.68,70,75,5.14,PG,1708136126
295,dryden,49.7833,-92.7503,-18.84,71,20,3.09,CA,1708136126
296,am timan,11.0297,20.2827,22.64,22,93,3.06,TD,1708136126
297,stepnogorsk,52.3544,71.8869,-25.6,95,11,4.27,KZ,1708136126
298,kristiansund,63.1115,7.732,3.36,60,100,3.6,NO,1708136126
299,monaghan,54.25,-6.9667,9.1,97,92,2.68,IE,1708136126
300,lewiston orchards,46.3804,-116.9754,1.17,78,38,0.85,US,1708136126
301,fedorovka,53.6314,62.7078,-26.5,97,41,1.2,KZ,1708136126
302,igarka,67.4667,86.5833,-38.0,100,33,0.54,RU,1708136126
303,razole,16.4833,81.8333,20.21,86,1,1.32,IN,1708136127
304,linxia chengguanzhen,35.6003,103.2064,7.87,19,97,0.23,CN,1708136127
305,island harbour,50.724,-1.2758,10.82,94,40,0.45,GB,1708136081
306,kismayo,-0.3582,42.5454,26.5,89,77,6.01,SO,1708136127
307,anshun,26.25,105.9333,10.86,88,98,5.64,CN,1708136127
308,kuqa,41.7278,82.9364,0.94,12,80,14.13,CN,1708136127
309,hithadhoo,-0.6,73.0833,28.26,77,98,3.72,MV,1708136082
310,el calafate,-50.3408,-72.2768,14.87,68,100,6.04,AR,1708136127
311,todos santos,23.45,-110.2167,20.17,73,3,3.64,MX,1708136127
312,puerto deseado,-47.7503,-65.8938,16.58,84,100,7.86,AR,1708136127
313,christchurch,-43.5333,172.6333,24.07,66,75,5.66,NZ,1708136011
314,mount isa,-20.7333,139.5,26.87,89,75,5.66,AU,1708136127
315,gaoyou,32.7858,119.4278,9.06,72,2,5.66,CN,1708136128
316,fasa,28.9383,53.6482,12.58,88,100,3.09,IR,1708136128
317,badger,64.8,-147.5333,-4.86,60,20,2.57,US,1708136128
318,tolanaro,-25.0319,46.9987,23.7,92,77,3.01,MG,1708136128
319,polyarnyy,69.1989,33.4478,-7.71,90,100,6.95,RU,1708136098
